Sentence_ID,Text,Code_Mixed,Duration_s,Gen_Time_s,Time_to_First_Chunk_s,RTF,Status
1,నమస్కారం. ఈ రోజు వాతావరణం ఎలా ఉంది?,No,3.402,33.498,11.724,9.8474,Success
2,హైదరాబాద్ నగరం చాలా అందంగా ఉంది.,No,3.657,37.477,13.117,10.2476,Success
3,మీ పేరు ఏమిటి? మీరు ఎక్కడ నుంచి వచ్చారు?,No,3.669,36.557,12.795,9.9645,Success
4,తెలంగాణ రాష్ట్రం భారతదేశంలో ఒక ముఖ్యమైన రాష్ట్రం.,No,4.017,47.772,16.72,11.8922,Success
5,రేపు ఉదయం 7 గంటలకు మీటింగ్ ఉంది.,No,4.087,68.007,23.802,16.641,Success
6,ప్రభుత్వం కొత్త పథకాలు ప్రకటించింది.,No,3.297,53.129,18.595,16.1131,Success
7,విద్యార్థులు చాలా శ్రద్ధగా చదువుతున్నారు.,No,4.342,69.734,24.407,16.06,Success
8,ఈ సినిమా చాలా బాగుంది అని అందరూ చెప్పారు.,No,4.191,69.088,24.181,16.484,Success
9,ఆమె చాలా మంచి వంట చేస్తుంది.,No,2.624,44.084,15.429,16.8013,Success
10,మా ఊరి పండుగ చాలా వైభవంగా జరిగింది.,No,4.249,36.92,12.922,8.6885,Success
11,రైలు సమయానికి వచ్చేసింది కాబట్టి సంతోషం.,No,3.053,23.469,8.214,7.6863,Success
12,కొత్త టెక్నాలజీలు మన జీవితాన్ని సులభం చేస్తున్నాయి.,No,4.957,38.517,13.481,7.7696,Success
13,పిల్లలు ఆటలు ఆడుతూ సంతోషంగా ఉన్నారు.,No,3.924,28.358,9.925,7.2266,Success
14,భారతీయ సంస్కృతి ప్రపంచంలోనే అత్యంత ప్రాచీనమైనది.,No,4.516,73.636,25.773,16.3046,Success
15,వ్యవసాయం భారత ఆర్థిక వ్యవస్థకు వెన్నెముక.,No,3.657,92.363,32.327,25.2556,Success
16,"నేను office కి వెళ్ళాలి, meeting ఉంది.",Yes,4.017,106.008,37.103,26.3896,Success
17,"Please నాకు help చేయండి, urgent work ఉంది.",Yes,3.866,99.328,34.765,25.692,Success
18,మా team leader చాలా strict గా ఉంటారు.,Yes,3.46,85.91,30.068,24.831,Success
19,Weekend లో movie చూద్దాం అనుకుంటున్నాం.,Yes,3.773,110.722,38.753,29.344,Success
20,"Exam preparation బాగా చేశాను, hope for good result.",Yes,4.029,67.191,23.517,16.6782,Success
